"Machine Name","Days in Calendar DateTime","Shift Name","ReasonState Group1","ReasonState Group2","ReasonState Name","Reason Occurrences","Scheduled Hours"
"TAL - Línea One Way V2","14/1/25","Turno Noche","Mantenimiento","Robopac","Corte de Film en Robopack","1","0.0388200793888889"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Llenadora","Caída de guía de seguridad por problema en pinza - Botella mal tapada","1","0.0380716666944444"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Túnel","Falla en motor","1","0.0377891666666667"
"TAL - Línea One Way V2","19/1/25","Turno Noche","Mantenimiento","Sopladora","Trabamiento de Preformas","1","0.0355677777777778"
"TAL - Línea One Way V2","17/1/25","Día Tarde","Mantenimiento","Paletizadora","Sensor entrada divisor","2","0.0355661111111111"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","6","0.0346247222222222"
"TAL - Línea RGB","13/1/25","Turno Dia","Mantenimiento","Capsuladora","Trancón de tapas en pista de bajada - Mantenimiento","1","0.0325119444444444"
"TAL - Línea Ref Pet (Llenadora)","17/1/25","Turno Noche","Mantenimiento","Omnivision","Falla Servomotor","0","0.0323026592222222"
"TAL - Línea Ref Pet (Llenadora)","16/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.0291639684722222"
"TAL - Línea Ref Pet (Llenadora)","19/1/25","Turno  Tarde","Mantenimiento","Omnivision","Ajuste eléctrico o mecánico","11","0.0285917083333333"
"TAL - Línea RGB","13/1/25","Turno Dia","Mantenimiento","Lavadora de Botellas","Trabamiento de botellas en la salida - Mantenimiento","1","0.0275077777777778"
"TAL - Línea Ref Pet (Llenadora)","15/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.0270441822777778"
"TAL - Línea Ref Pet (Llenadora)","15/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.026885738"
"TAL - Línea RGB","13/1/25","Turno Dia","Mantenimiento","Capsuladora","Trancón de tapas en pista de bajada - Mantenimiento","1","0.0266822222222222"
"TAL - Línea RGB","15/1/25","Turno Dia","Mantenimiento","Coronador","Trancónes reiterados pista de bajada","5","0.0266794444444444"
"TAL - Línea One Way V2","17/1/25","Turno Noche","Mantenimiento","Sopladora","Trabamiento de Preformas","2","0.026175131"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","3","0.02543"
"TAL - Línea Ref Pet (Llenadora)","15/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.0249200312222222"
"TAL - Línea One Way V2","19/1/25","Turno Noche","Mantenimiento","Etiquetadora","Empalme defectuoso - Etiquetadora","1","0.0244569444444444"
"TAL - Línea Ref Pet (Llenadora)","16/1/25","Turno Día","Mantenimiento","Lavadora de Botellas","Caída de envase en descarga - Mantenimiento","1","0.0238436113888889"
"TAL - Línea RGB","17/1/25","Turno Dia","Mantenimiento","Llenadora","Lubricación de pedestales - Llenadora","1","0.0225066666666667"
"TAL - Línea RGB","15/1/25","Turno Noche","Mantenimiento","Coronador","Cambio o reparación - Coronador","9","0.0200205555555556"
